JOB,	   GOG ADDR,	STEAM ADDR,	PCG ADDR,	NAME,						TYPE
repl vptr, 0x66B46C,	0x68856C,	0x66B46C,	"Main_Screen_Form_handle_key_up",		"int (__fastcall *) (Main_Screen_Form * this, int edx, int virtual_key_code)"
define,    0x4DAA70,	0x4E3430,	0x4DAB30,	"Main_Screen_Form_issue_command",		"char (__fastcall *) (Main_Screen_Form * this, int edx, int command, Unit * unit)"
define,    0x609D60,	0x6233C0,	0x609C80,	"clear_something_1",				"void (__stdcall *) ()"
define,    0x6207B0,	0x644F10,	0x6206E0,	"clear_something_2",				"void (__fastcall *) (void * this)"
inlead,    0x55EFA0,	0x56B030,	0x55EF50,	"Leader_can_do_worker_job",			"char (__fastcall *) (Leader * this, int edx, enum Worker_Jobs job, int tile_x, int tile_y, int ask_if_replacing)"
define,    0x455288,	0x457458,	0x455308,	"ADDR_CHECK_ARTILLERY_IN_CITY",			"void *"
inlead,    0x455140,	0x457310,	0x4551C0,	"Unit_ai_move_artillery",			"void (__fastcall *) (Unit * this)"
define,    0x5E6E50,	0x5F66A0,	0x5E6D80,	"neighbor_index_to_diff",			"void (__cdecl *) (int neighbor_index, int * out_x, int * out_y)"
define,    0x5B3040,	0x5C1970,	0x5B2D50,	"Unit_set_state",				"void (__fastcall *) (Unit * this, int edx, int new_state)"
define,    0x5B2F10,	0x5C1840,	0x5B2C20,	"Unit_set_escortee",				"void (__fastcall *) (Unit * this, int edx, int escortee)"
define,    0xA526B4,	0xA74EAC,	0xA52674,	"p_rand_object",				"void *"
define,    0x60BAB0,	0x626440,	0x60B9E0,	"rand_int",					"int (__fastcall *) (void * this, int edx, int lim)"
inlead,    0x42C8A0,	0x42E430,	0x42C920,	"City_ai_choose_production",			"void (__fastcall *) (City * this, int edx, City_Order * out)"
inlead,    0x4C04E0,	0x4C7AB0,	0x4C0570,	"City_can_build_unit",				"byte (__fastcall *) (City * this, int edx, int unit_type_id, byte exclude_upgradable, int param_3, byte allow_kings)"
repl call, 0x5C536C,	0x5D404D,	0x5C507C,	"Unit_get_max_move_points_for_disembarking",	""
inlead,    0x5C5420,	0x5D4120,	0x5C5130,	"Unit_disembark_passengers",			"int (__fastcall *) (Unit * this, int edx, int tile_x, int tile_y)"
define,    0xCAA330,	0xCCCB98,	0xCAA2F0,	"p_null_tile",					"Tile *"
define,    0x45A35F,	0x45C56F,	0x45A3DF,	"ADDR_HOUSEBOAT_BUG_PATCH",			"byte *"
define,    0x45A386,	0x45C596,	0x45A406,	"ADDR_HOUSEBOAT_BUG_PATCH_END",			"byte *"
define,    0xB72888,	0xB950A8,	0xB72848,	"p_trade_net",					"Trade_Net *"
inlead,    0x580540,	0x58D270,	0x5802A0,	"Trade_Net_set_unit_path",			"int (__fastcall *) (Trade_Net * this, int edx, int from_x, int from_y, int to_x, int to_y, Unit * unit, int civ_id, int flags, int * out_path_length_in_mp)"
define,    0x5B3290,	0x5C1BE0,	0x5B2FA0,	"Unit_pop_next_move_from_path",			"byte (__fastcall *) (Unit * this)"
inlead,    0x45FED0,	0x4622A0,	0x45FF50,	"Unit_ai_move_leader",				"void (__fastcall *) (Unit * this)"
define,    0x5B2B20,	0x5C1440,	0x5B2830,	"Unit_next_escorter_id",			"int (__fastcall *) (Unit * this, int edx, int * index, byte begin_iterating)"
define,    0x5BC300,	0x5CAE50,	0x5BC010,	"Unit_disband",					"void (__fastcall *) (Unit * this)"
inlead,    0x5C00A0,	0x5CEC20,	0x5BFDB0,	"Unit_can_hurry_production",			"byte (__fastcall *) (Unit * this, int edx, City * city, byte exclude_cheap_improvements)"
define,    0x5C0420,	0x5CEFC0,	0x5C0130,	"Unit_hurry_production",			"void (__fastcall *) (Unit * this)"
define,    0x5C0300,	0x5CEE90,	0x5C0010,	"Unit_ai_can_start_science_age",		"byte (__fastcall *) (Unit * this)"
define,    0x5C03B0,	0x5CEF50,	0x5C00C0,	"Unit_start_science_age",			"void (__fastcall *) (Unit * this)"
define,    0x5BC980,	0x5CB510,	0x5BC690,	"Unit_ai_can_form_army",			"byte (__fastcall *) (Unit * this)"
define,    0x5BCA20,	0x5CB5B0,	0x5BC730,	"Unit_form_army",				"Unit * (__fastcall *) (Unit * this)"
repl vptr, 0x66DD28,	0x68AE08,	0x66DD28,	"impl_ai_is_good_army_addition",		"byte (__fastcall *) (Unit * this, int edx, Unit * candidate)"
repl vptr, 0x666578,	0x6835CC,	0x666578,	"PopupForm_set_text_key_and_flags",		"void (__fastcall *) (PopupForm * this, int edx, char * script_path, char * text_key, int param_3, int param_4, int param_5, int param_6)"
define,    0xA35200,	0xA57A00,	0xA351C0,	"p_diplo_form",					"DiploForm *"
define,    0x649A8B,	0x6683E1,	0x6499CF,	"new",						"void * (__cdecl *) (unsigned num_bytes)"
define,    0x666AC4,	0x683B1C,	0x666AC4,	"p_trade_offer_vtable",				"TradeOfferVTable *"
define,    0x440EE0,	0x442CD0,	0x440F60,	"Leader_consider_trade",			"DiploMessage (__fastcall *) (Leader * this, int edx, TradeOfferList * receiving, TradeOfferList * paying, int other_party_civ_id, byte param_4, byte param_5, byte param_6, byte param_7, int * out_advantage, int * param_9, int * param_10)"
define,    0x509325,	0x51334D,	0x5093C5,	"ADDR_SETUP_INITIAL_GOLD_ASK_RETURN",		"int"
define,    0x50BCC8,	0x515DA1,	0x50BD68,	"ADDR_SETUP_MODIFY_GOLD_ASK_RETURN",		"int"
define,    0x509669,	0x51366E,	0x509709,	"ADDR_SETUP_INITIAL_GOLD_OFFER_RETURN",		"int"
define,    0x50BF10,	0x516008,	0x50BFB0,	"ADDR_SETUP_MODIFY_GOLD_OFFER_RETURN",		"int"
define,    14,		14,		14,		"TRADE_GOLD_SETTER_IS_LUMP_SUM_OFFSET", 	"int"
define,	   0x50BEBD,	0x515FB4,	0x50BF5D,	"ADDR_PRINT_GOLD_AMOUNT_1",			"byte *"
define,	   0x50BC75,	0x515D4D,	0x50BD15,	"ADDR_PRINT_GOLD_AMOUNT_2",			"byte *"
inlead,    0x5F3160,	0x603000,	0x5F3090,	"Map_check_city_location",			"CityLocValidity (__fastcall *) (Map *this, int edx, int tile_x, int tile_y, int civ_id, byte check_for_city_on_tile)"
repl vptr, 0x66C1E8,	0x6892D8,	0x66C1E8,	"DiploForm_m68_Show_Dialog",			"int (__fastcall *) (DiploForm * this, int edx, int param_1, void * param_2, void * param_3)"
repl vptr, 0x66C220,	0x689310,	0x66C220,	"DiploForm_m82_handle_key_event",		"void (__fastcall *) (DiploForm * this, int edx, int virtual_key_code, int is_down)"
define,    0xA526C0,	0xA74EB8,	0xA52680,	"p_player_bits",				"unsigned *"
define,    0x50D830,	0x517970,	0x50D8D0,	"DiploForm_close",				"void (__fastcall *) (DiploForm *)"
inlead,    0x505F40,	0x50FD30,	0x505FE0,	"DiploForm_do_diplomacy",			"void (__fastcall *) (DiploForm * this, int edx, int diplo_message, int param_2, int civ_id, int do_not_request_audience, int war_negotiation, int disallow_proposal, TradeOfferList * our_offers, TradeOfferList * their_offers)"
define,    0x440E10,	0x442C00,	0x440E90,	"Leader_ai_would_meet_with",			"byte (__fastcall *) (Leader * this, int edx, int civ_id)"
repl vptr, 0x66C130,	0x689220,	0x66C130,	"DiploForm_m22_Draw",				"void (__fastcall *) (DiploForm * this)"
define,    0x609F50,	0x623C40,	0x609E70,	"Button_construct",				"Button * (__fastcall *) (Button * this)"
define,    0x60B050,	0x625450,	0x60AF70,	"Button_initialize",				"int (__fastcall *) (Button * this, int edx, char * param_1, int control_id, int x, int y, int width, int height, Base_Form * parent, int param_8)"
define,    0x5161C0,	0x51F9B0,	0x516260,	"DiploForm_set_their_message",			"int (__fastcall *) (DiploForm * this, int edx, DiploMessage msg, int message_arg, int param_3)"
define,    0x516260,	0x51FA50,	0x516300,	"DiploForm_reset_our_message_choices",		"void (__fastcall *) (DiploForm *)"
define,	   0x649FA7,	0x6076E0,	0x649EEB,	"civ_prog_malloc",				"void * (__cdecl *) (unsigned _Size)"
define,	   0x649EBE,	0x668816,	0x649E02,	"civ_prog_free",				"void (__cdecl *) (void * p)"
inlead,	   0x61A480,	0x63B9F0,	0x61A3B0,	"Context_Menu_open",				"int (__fastcall *) (Context_Menu * this, int edx, int x, int y, int param_3)"
define,	   0x4E993C,	0x4F273A,	0x4E99FC,	"ADDR_OPEN_UNIT_MENU_RETURN",			"int"
define,	   0x61B0C0,	0x63C940,	0x61AFF0,	"Context_Menu_widen_for_text",			"void (__fastcall *) (Context_Menu * this, int edx, char * text)"
inlead,	   0x61A110,	0x63B420,	0x61A040,	"Context_Menu_add_item_and_set_field_18",	"int (__fastcall *)  (Context_Menu * this, int edx, int item_id, char * text, int field_18)"
inlead,	   0x45C750,	0x45EA70,	0x45C7D0,	"Unit_ai_move_terraformer",			"void (__fastcall *) (Unit * this)"
define,	   0x4B1DC0,	0x4B8D50,	0x4B1E50,	"City_requires_improvement_to_grow",		"int (__fastcall *) (City * this)"
inlead,	   0x5C1AD0,	0x5D0670,	0x5C17E0,	"Unit_can_perform_command",			"byte (__fastcall *) (Unit * this, int edx, int unit_command_value)"
define,	   0x5B39D0,	0x5C2320,	0x5B36E0,	"Unit_join_city",				"void (__fastcall *) (Unit * this, int edx, City * city)"
define,	   0x5C0740,	0x5CF2E0,	0x5C0450,	"Unit_upgrade",					"Unit * (__fastcall *) (Unit * this, int edx, byte ignore_cost)"
define,	   0x5C04D0,	0x5CF070,	0x5C01E0,	"Unit_get_upgrade_cost",			"int (__fastcall *) (Unit * this)"
define,	   0xCADC18,	0xCD0510,	0xCADBD8,	"script_dot_txt_file_path",			"char *"
inlead,	   0x5B5CD0,	0x5C4620,	0x5B59E0,	"Unit_can_move_to_adjacent_tile",		"AdjacentMoveValidity (__fastcall *) (Unit * this, int edx, int neighbor_index, int param_2)"
define,	   0x5F3F50,	0x603DD0,	0x5F3E80,	"Map_compute_neighbor_index",			"int (__fastcall *) (Map * this, int edx, int x_home, int y_home, int x_neigh, int y_neigh, int lim)"
repl call, 0x5CCC85,	0x5DBC1F,	0x5CC995,	"Map_compute_neighbor_index_for_pass_between",	""
repl call, 0x42FC69,	0x43173F,	0x42FCE9,	"Improvement_has_wonder_com_bonus_for_ai_prod",	""
define,	   0x5FEF70,	0x613F70,	0x5FEE50,	"PCX_Image_draw_text",				"int (__fastcall *) (PCX_Image * this, int edx, char * str, int x, int y, int str_len)"
repl call, 0x5AAB93,	0x5B9899,	0x5AA8A3,	"PCX_Image_draw_no_tile_info",			""
repl call, 0x5AB00A,	0x5B97E8,	0x5AAD1A,	"PCX_Image_draw_tile_info_terrain",		""
define,	   0x4E3C60,	0x4EC4B0,	0x4E3D20,	"Main_Screen_Form_get_tile_coords_under_mouse",	"int (__fastcall *) (Main_Screen_Form * this, int edx, int mouse_x, int mouse_y, int * out_tile_x, int * out_tile_y)"
inlead,	   0x5AA820,	0x5B8F40,	0x5AA530,	"open_tile_info",				"void (__fastcall *) (void * this, int edx, int mouse_x, int mouse_y, int civ_id)"
inlead,	   0x53A860,	0x544B80,	0x53A8E0,	"get_anarchy_length",				"int (__stdcall *) (int leader_id)"
repl call, 0x5557DE,	0x56136E,	0x55578E,	"PCX_Image_process_tech_ga_status",		""
define,	   0x5FE560,	0x612F50,	0x5FE440,	"PCX_Image_process_text",			"int (__fastcall *) (PCX_Image * this, int edx, char * str)"
define,	   0xA526AC,	0xA74EA4,	0xA5266C,	"p_current_turn_no",				"int *"
define,	   0xCADC0C,	0xCD0504,	0xCADBCC,	"p_labels",					"char ***"
define,	   497,		498,		497,		"LBL_GOLDEN_AGE",				"int"
define,	   0xA5267C,	0xA74E74,	0xA5263C,	"p_toggleable_rules",				"int *"
define,	   0xA52680,	0xA74E78,	0xA52640,	"p_debug_mode_bits",				"unsigned *"
repl call, 0x569A10,	0x575E4A,	0x5699C0,	"Unit_check_king_ability_while_spawning",	""
define,	   0x5BC8B0,	0x5CB430,	0x5BC5C0,	"Unit_has_ability",				"byte (__fastcall *) (Unit * this, int edx, enum UnitTypeAbilities a)"
define,	   0x442480,	0x444250,	0x442500,	"ai_eval_city_location",			"int (__stdcall *) (int x, int y, int civ_id, byte param_4, int * out_breakdown)"
define,	   0x430FBA,	0x432A6D,	0x43103A,	"ADDR_INTERCEPT_AI_IMPROV_VALUE",		"void *"
define,	   7,		6,		7,		"AI_CONSIDERATION_INTERCEPT_LEN",		"int"
define,	   0x433C7C,	0x435712,	0x433CFC,	"ADDR_INTERCEPT_AI_UNIT_VALUE",			"void *"
inlead,	   0x4B1190,	0x4B8140,	0x4B1220,	"City_compute_corrupted_yield",			"int (__fastcall *) (City * this, int edx, int gross_yield, byte is_production)"
define,	   0x610B30,	0x62CE00,	0x610A60,	"PopupForm_add_text",				"byte (__fastcall *) (PopupForm * this, int edx, char * text, byte param_2)"
define,	   0x6193A0,	0x639AD0,	0x6192D0,	"PopupSelection_add_item",			"int (__fastcall *) (PopupSelection * this, int edx, char * text, int value)"
inlead,	   0x59AB50,	0x5A8660,	0x59A870,	"load_scenario",				"unsigned (__fastcall *) (void * this, int edx, char * param_1, unsigned * param_2)"
define,	   0x59B499,	0x5A8FD9,	0x59B1B9,	"ADDR_LOAD_SCENARIO_PREVIEW_RETURN",		"int"
define,	   0x59AD27,	0x5A8872,	0x59AA47,	"ADDR_LOAD_SCENARIO_RESUME_SAVE_2_RETURN",	"int"
repl vptr, 0x6659F8,	0x682A5C,	0x6659F8,	"City_Form_m82_handle_key_event",		"void (__fastcall *) (City_Form * this, int edx, int virtual_key_code, int is_down)"
define,	   0x437540,	0x4390F0,	0x4375C0,	"Improvement_has_wonder_flag",			"byte (__fastcall *) (Improvement * this, int edx, enum ImprovementTypeWonderFeatures flag)"
define,	   0x437710,	0x4392F0,	0x437790,	"UnitType_has_ai_strategy",			"byte (__fastcall *) (UnitType * this, int edx, byte n)"
repl call, 0x431038,	0x432AE7,	0x4310B8,	"UnitType_has_strat_0_for_ai_prod",		""
define,	   0x44CE50,	0x44EE40,	0x44CED0,	"Unit_find_transport",				"Unit * (__fastcall *) (Unit * this, int edx, int tile_x, int tile_y)"
define,	   0x5C5110,	0x5D3DF0,	0x5C4E20,	"Unit_load",					"void (__fastcall *) (Unit * this, int edx, Unit * transport)"
define,	   0xA526BC,	0xA74EB4,	0xA5267C,	"p_human_player_bits",				"int *"
define,	   0x5F8130,	0x6085D0,	0x5F8060,	"Tile_Image_Info_draw_on_map",			"int (__fastcall *) (Tile_Image_Info * this, int edx, Map_Renderer * map_renderer, int pixel_x, int pixel_y, int param_4, int param_5, int param_6, int param_7)"
repl vptr, 0x66A554,	0x687660,	0x66A554,	"Map_Renderer_m19_Draw_Tile_by_XY_and_Flags",	"void (__fastcall *) (Map_Renderer * this, int edx, int param_1, int pixel_x, int pixel_y, Map_Renderer * map_renderer, int param_5, int tile_x, int tile_y, int param_8)"
repl vptr, 0x66A624,	0x687730,	0x66A624,	"Map_Renderer_m71_Draw_Tiles",			"void (__fastcall *) (Map_Renderer * this, int edx, int param_1, int param_2, int param_3)"
repl vptr, 0x66B520,	0x688620,	0x66B520,	"Main_Screen_Form_m82_handle_key_event",	"void (__fastcall *) (Main_Screen_Form * this, int edx, int virtual_key_code, int is_down)"
define,	   0x5BE470,	0x5CD030,	0x5BE180,	"Unit_get_max_move_points",			"int (__fastcall *) (Unit * this)"
repl call, 0x5C190B,	0x5D0493,	0x5C161B,	"Unit_get_move_points_after_airdrop",		""
repl call, 0x4D93E0,	0x4E1D70,	0x4D94A0,	"Unit_get_move_points_after_set_to_intercept",	""
repl vptr, 0x66E738,	0x68B810,	0x66E738,	"Parameters_Form_m68_Show_Dialog",		"int (__fastcall *) (Parameters_Form * this, int edx, int arg_1, void * arg_2, void * arg_3)"
define,	   0x598580,	0x5A5E30,	0x5982A0,	"BIC_get_asset_path",				"char * (__fastcall *) (BIC * this, int edx, char * str, byte show_error_popup)"
define,    0x5F8080,	0x608500,	0x5F7FB0,	"Tile_Image_Info_slice_pcx_with_color_table",	"int (__fastcall *) (Tile_Image_Info * this, int edx, PCX_Image * img, int up_left_x, int up_left_y, int w, int h, int arg6, int arg7)"
define,	   0x5FD320,	0x611210,	0x5FD200,	"PCX_Image_set_font",				"int (__fastcall *) (PCX_Image * this, int edx, Object_66C3FC * font, int arg_2, int arg_3, int arg_4)"
define,	   0x57EEC4,	0x58BBE8,	0x57EC24,	"ADDR_INTERCEPT_SET_RESOURCE_BIT",		"void *"
inlead,	   0x4ADE30,	0x4B4E10,	0x4ADEC0,	"City_has_resource",				"byte (__fastcall *) (City * this, int edx, int resource_id)"
define,	   0x4ADDC0,	0x4B4DA0,	0x4ADE50,	"City_has_trade_connection_to_capital",		"byte (__fastcall *) (City * this)"
inlead,	   0x57E450,	0x58B1A0,	0x57E1B0,	"Trade_Net_recompute_resources",		"void (__fastcall *) (Trade_Net * this, int edx, byte skip_popups)"
define,	   0x561440,	0x56D5A0,	0x5613F0,	"Leader_has_tech",				"byte (__fastcall *) (Leader * this, int edx, int id)"
inlead,	   0x4BED80,	0x4C6350,	0x4BEE10,	"City_cycle_specialist_type",			"byte (__fastcall *) (City * this, int edx, int mouse_x, int mouse_y, Citizen * citizen, City_Form * city_form)"
inlead,	   0x4B1C10,	0x4B8BC0,	0x4B1CA0,	"City_get_total_pollution",			"int (__fastcall *) (City * this)"
define,	   0x4B1B40,	0x4B8B00,	0x4B1BD0,	"City_get_pollution_from_buildings",		"int (__fastcall *) (City * this)"
inlead,	   0x4B1A50,	0x4B8A10,	0x4B1AE0,	"City_get_pollution_from_pop",			"int (__fastcall *) (City * this)"
inlead,	   0x4ACF40,	0x4B3F20,	0x4ACFD0,	"City_add_or_remove_improvement",		"void (__fastcall *) (City * this, int edx, int improv_id, int add, byte param_3)"
define,	   0x57E943,	0x58B68E,	0x57E6A3,	"ADDR_RESOURCE_TILE_COUNT_MASK",		"void *"
define,	   0x5DA1A0,	0x5E9710,	0x5DA0D0,	"Tile_get_resource_visible_to",			"int (__fastcall *) (Tile * this, int edx, int civ_id)"
define,	   0x5D16A0,	0x5E0900,	0x5D15D0,	"Map_get_tile",					"Tile * (__fastcall *) (Map * this, int edx, int index)"
repl call, 0x57E602,	0x58B345,	0x57E362,	"Map_get_tile_when_recomputing_resources_1",	""
repl call, 0x57E629,	0x58B36C,	0x57E389,	"Map_get_tile_when_recomputing_resources_2",	""
repl call, 0x57E618,	0x58B35B,	0x57E378,	"Map_get_tile_when_recomputing_resources_3",	""
repl call, 0x57E64A,	0x58B397,	0x57E3AA,	"Map_get_tile_when_recomputing_resources_4",	""
repl call, 0x57E672,	0x58B3B7,	0x57E3D2,	"Map_get_tile_when_recomputing_resources_5",	""
repl call, 0x57E679,	0x58B3BE,	0x57E3D9,	"Tile_get_visible_resource_when_recomputing",	""
inlead,	   0x4A47C0,	0x4AB470,	0x4A4850,	"Fighter_begin",				"void (__fastcall *) (Fighter * this, int edx, Unit * attacker, int attack_direction, Unit * defender)"
define,	   0x441ED0,	0x443CC0,	0x441F50,	"Map_get_x_dist",				"int (__fastcall *) (Map * this, int edx, int x1, int x2)"
define,	   0x437970,	0x439520,	0x4379F0,	"Map_get_y_dist",				"int (__fastcall *) (Map * this, int edx, int y1, int y2)"
define,	   0x5D7180,	0x5E65E0,	0x5D70B0,	"Map_calc_food_yield_at",			"int (__fastcall *) (Map * this, int edx, int tile_x, int tile_y, int tile_base_type, int civ_id, int imagine_fully_improved, City * city)"
